policy,matching_window_min,max_detour_min,density_pct,profit_per_launched_driver,selected_heuristic_policy
coldstart,5,2,10,-7.72,heuristic_feasible_count
heuristic_feasible_count,5,2,10,-7.12,heuristic_feasible_count
warmup,5,2,10,-7.12,heuristic_feasible_count
oracle,5,2,10,-6.92,heuristic_feasible_count
coldstart,5,4,10,-8.08,heuristic_feasible_count
heuristic_feasible_count,5,4,10,-7.3,heuristic_feasible_count
warmup,5,4,10,-7.15,heuristic_feasible_count
oracle,5,4,10,-7.02,heuristic_feasible_count
coldstart,5,6,10,-7.11,heuristic_feasible_count
heuristic_feasible_count,5,6,10,-6.19,heuristic_feasible_count
warmup,5,6,10,-6.15,heuristic_feasible_count
oracle,5,6,10,-5.95,heuristic_feasible_count
