density_pct,heuristic_strategy,mean_profit,selected_for_paper
100,heuristic_count,-0.02,False
100,heuristic_fare_density,0.01,False
100,heuristic_feasible_count,0.05,True
100,heuristic_profit_proxy,0.0,False
75,heuristic_count,-0.9,False
75,heuristic_fare_density,-0.88,False
75,heuristic_feasible_count,-0.85,True
75,heuristic_profit_proxy,-0.94,False
50,heuristic_count,-1.78,False
50,heuristic_fare_density,-1.76,False
50,heuristic_feasible_count,-1.73,True
50,heuristic_profit_proxy,-1.84,False
25,heuristic_count,-3.74,False
25,heuristic_fare_density,-3.68,False
25,heuristic_feasible_count,-3.53,True
25,heuristic_profit_proxy,-3.82,False
10,heuristic_count,-6.55,False
10,heuristic_fare_density,-6.42,False
10,heuristic_feasible_count,-6.28,True
10,heuristic_profit_proxy,-6.47,False
